imgID,R,G,B,L
1,220.202096296296,209.477455555556,205.770662962963,84.1959389172693
2,224.223055555555,209.635125925926,185.501751851852,84.26346911452
3,228.507333333333,213.068881481482,197.702585185185,86.0032160558161
4,241.6334,235.246888888889,224.08042962963,93.1234388719693
5,233.14667037037,221.685714814815,203.758633333333,88.5667070896051
6,241.700688888889,234.822918518519,227.331188888889,93.2707476894857
7,231.251285185185,211.45102962963,195.076322222222,85.7437388805984
8,230.364255555556,218.267518518519,205.17507037037,87.2945200672402
9,232.070888888889,216.652388888889,201.2447,87.1514326479211
10,235.360514814815,227.360366666667,213.76962962963,90.5447642495024
11,241.980125925926,232.602592592593,207.044166666667,92.3505925200705
12,216.015559259259,207.838151851852,191.304425925926,83.0634001016514
13,212.567877777778,191.321511111111,169.601381481481,77.977772380909
14,243.826225925926,236.627544444445,222.833840740741,93.7696296587221
15,239.67817037037,223.601403703704,203.338314814815,89.8280850944142
16,231.443377777778,213.845492592593,198.130418518519,86.3755709133149
17,210.764488888889,185.949807407407,160.755022222222,76.8797844212069
18,225.149392592593,212.812444444445,193.682225925926,85.4264297724494
19,236.933103703704,226.098122222222,213.87197037037,90.3605442328659
20,231.082603703704,212.621714814815,188.195388888889,85.8665597025651
21,246.156955555556,225.426788888889,227.67477037037,91.8353177146557
22,238.318485185185,221.448785185185,186.011985185185,88.9640843753322
23,229.752911111111,215.786466666667,200.357874074074,86.6281115973128
24,237.950762962963,227.837792592593,217.216607407407,90.8212434142724
25,226.291174074074,216.194922222222,212.551062962963,87.0348330386426
26,240.671822222222,218.454088888889,165.623814814815,88.2319323034905
27,228.551785185185,219.525462962963,198.217625925926,87.4312852143904
28,230.415522222222,220.993285185185,214.040340740741,88.2948010250307
29,214.292388888889,199.70152962963,173.978244444444,80.5234332314713
30,231.086585185185,212.687988888889,188.667337037037,85.9698897331781
31,242.689322222222,238.060522222222,230.73662962963,94.0384921417603
32,205.8006,176.317555555556,148.889348148148,73.3848370332278
33,232.182151851852,225.755218518519,210.883362962963,89.760545693455
34,231.769207407407,217.87617037037,204.482866666667,87.4915406998683
35,238.261518518519,232.753133333333,222.796459259259,92.224033965728
36,226.112862962963,222.165737037037,213.557911111111,88.0221519482546
37,224.732359259259,204.957048148148,188.700111111111,83.3998392724377
38,234.046337037037,225.745488888889,214.159877777778,89.6212949096452
39,242.140485185185,232.662303703704,217.434285185185,92.5700119873508
40,218.030618518519,201.905925925926,186.742474074074,81.4896558157311
41,206.442281481481,198.14667037037,185.634414814815,79.2070218927327
42,233.080374074074,221.833485185185,221.096044444444,88.8034520505154
43,245.816162962963,226.076507407407,162.769114814815,90.5795528816399
44,241.97977037037,236.37617037037,228.174722222222,93.4940066874088
45,206.768825925926,193.444144444444,168.1402,77.9905601712774
46,236.773455555556,224.326525925926,198.608181481481,89.6130989671434
47,234.398955555556,215.853603703704,189.506048148148,87.1322170753605
48,225.469518518518,207.606522222222,178.779862962963,83.8179285994711
49,221.546081481481,209.746385185185,205.634555555556,83.9751836387699
50,222.691766666667,203.613559259259,183.986959259259,82.599396820158
51,226.266981481481,216.113044444444,199.440296296296,86.5130199669077
52,221.637525925926,199.60527037037,174.717081481481,81.2689750909892
53,230.338377777778,209.626933333333,185.39507037037,84.9855548964108
54,230.317233333333,217.095607407407,192.581888888889,86.9806132201789
55,210.184577777778,175.108888888889,166.413762962963,74.6472024851681
56,230.325433333333,221.73747037037,215.9782,88.2859399114358
57,219.575303703704,211.099451851852,193.704033333333,84.3195891449959
58,233.422385185185,221.863414814815,204.117711111111,88.6779029956252
59,212.601351851852,198.902051851852,181.707014814815,80.0570177334033
60,233.02332962963,218.918403703704,196.226703703704,87.8391106756936
61,217.738881481481,194.702925925926,183.2717,80.0325276892128
62,231.827648148148,219.497414814815,207.432437037037,87.8663861084001
63,235.200085185185,226.835807407407,220.049166666667,90.2893909268881
64,236.109440740741,234.422496296296,216.617411111111,92.2429962379794
65,222.019862962963,211.215914814815,185.582511111111,84.40029245866
66,228.016977777778,204.47902962963,177.90227037037,83.3319623430655
67,228.945522222222,220.155659259259,202.818633333333,87.7289139325334
68,222.721862962963,203.222114814815,187.400314814815,82.5535159379574
69,231.089803703704,215.682885185185,191.383751851852,86.6373812248369
70,243.692159259259,237.458762962963,224.141840740741,93.9902413942618
71,239.094714814815,231.21037037037,209.720744444444,91.736418946088
72,225.051766666667,210.952637037037,195.053596296296,84.8167549010263
73,237.482414814815,230.123181481481,214.445337037037,91.4102323397192
74,205.973988888889,197.97622962963,195.076896296296,79.1245234981817
